Date : 2022-11-19 19:02:07
Directory : e:\Development\Orion
Total : 2048 files,  421928 codes, 70987 comments, 60319 blanks, all 553234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_5.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_5.js                                                    | JavaScript       |          7 |          0 |          1 |          8 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_6.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_6.js                                                    | JavaScript       |         18 |          0 |          1 |         19 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_7.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_7.js                                                    | JavaScript       |          5 |          0 |          1 |          6 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_8.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_8.js                                                    | JavaScript       |          6 |          0 |          1 |          7 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_9.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_9.js                                                    | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_a.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_a.js                                                    | JavaScript       |         64 |          0 |          1 |         65 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_b.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_b.js                                                    | JavaScript       |          8 |          0 |          1 |          9 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_c.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_c.js                                                    | JavaScript       |          5 |          0 |          1 |          6 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_d.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_d.js                                                    | JavaScript       |          7 |          0 |          1 |          8 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_e.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_e.js                                                    | JavaScript       |         13 |          0 |          1 |         14 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_f.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\files_f.js                                                    | JavaScript       |         10 |          0 |          1 |         11 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_0.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_0.js                                                | JavaScript       |         31 |          0 |          1 |         32 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_1.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_1.js                                                | JavaScript       |         20 |          0 |          1 |         21 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_10.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_10.js                                               | JavaScript       |         30 |          0 |          1 |         31 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_11.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_11.js                                               | JavaScript       |         20 |          0 |          1 |         21 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_12.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_12.js                                               | JavaScript       |         52 |          0 |          1 |         53 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_13.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_13.js                                               | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_14.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_14.js                                               | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_15.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_15.js                                               | JavaScript       |          7 |          0 |          1 |          8 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_16.html                                             | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_16.js                                               | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_2.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_2.js                                                | JavaScript       |         42 |          0 |          1 |         43 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_3.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_3.js                                                | JavaScript       |         24 |          0 |          1 |         25 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_4.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_4.js                                                | JavaScript       |         55 |          0 |          1 |         56 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_5.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_5.js                                                | JavaScript       |         51 |          0 |          1 |         52 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_6.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_6.js                                                | JavaScript       |          9 |          0 |          1 |         10 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_7.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_7.js                                                | JavaScript       |          7 |          0 |          1 |          8 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_8.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_8.js                                                | JavaScript       |         31 |          0 |          1 |         32 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_9.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_9.js                                                | JavaScript       |         28 |          0 |          1 |         29 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_a.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_a.js                                                | JavaScript       |         36 |          0 |          1 |         37 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_b.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_b.js                                                | JavaScript       |         10 |          0 |          1 |         11 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_c.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_c.js                                                | JavaScript       |         24 |          0 |          1 |         25 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_d.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_d.js                                                | JavaScript       |         83 |          0 |          1 |         84 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_e.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_e.js                                                | JavaScript       |         19 |          0 |          1 |         20 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_f.html                                              | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\functions_f.js                                                | JavaScript       |         35 |          0 |          1 |         36 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_0.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_0.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_1.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_1.js                                                   | JavaScript       |          5 |          0 |          1 |          6 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_2.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_2.js                                                   | JavaScript       |          5 |          0 |          1 |          6 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_3.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_3.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_4.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_4.js                                                   | JavaScript       |        122 |          0 |          1 |        123 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_5.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_5.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_6.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_6.js                                                   | JavaScript       |          6 |          0 |          1 |          7 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_7.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_7.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_8.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_8.js                                                   | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_9.html                                                 | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\groups_9.js                                                   | JavaScript       |          6 |          0 |          1 |          7 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\nomatches.html                                                | HTML             |         12 |          0 |          1 |         13 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\pages_0.html                                                  | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\pages_0.js                                                    | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\search.css                                                    | CSS              |        220 |          5 |         47 |        272 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\search.js                                                     | JavaScript       |        688 |         36 |         68 |        792 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\searchdata.js                                                 | JavaScript       |         27 |          0 |          4 |         31 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_0.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_0.js                                                 | JavaScript       |        179 |          0 |          1 |        180 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_1.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_1.js                                                 | JavaScript       |         22 |          0 |          1 |         23 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_2.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_2.js                                                 | JavaScript       |         37 |          0 |          1 |         38 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_3.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_3.js                                                 | JavaScript       |         78 |          0 |          1 |         79 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_4.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_4.js                                                 | JavaScript       |        188 |          0 |          1 |        189 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_5.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_5.js                                                 | JavaScript       |         61 |          0 |          1 |         62 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_6.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_6.js                                                 | JavaScript       |        188 |          0 |          1 |        189 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_7.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_7.js                                                 | JavaScript       |        200 |          0 |          1 |        201 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_8.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_8.js                                                 | JavaScript       |        179 |          0 |          1 |        180 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_9.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_9.js                                                 | JavaScript       |          5 |          0 |          1 |          6 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_a.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_a.js                                                 | JavaScript       |         12 |          0 |          1 |         13 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_b.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_b.js                                                 | JavaScript       |         47 |          0 |          1 |         48 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_c.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_c.js                                                 | JavaScript       |          7 |          0 |          1 |          8 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_d.html                                               | HTML             |         21 |          5 |          1 |         27 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\search\typedefs_d.js                                                 | JavaScript       |          4 |          0 |          1 |          5 |
| e:\Development\Orion\Orion\vendor\glm\doc\api\tabs.css                                                             | CSS              |         53 |          0 |          8 |         61 |
| e:\Development\Orion\Orion\vendor\glm\doc\theme\doxygen.css                                                        | CSS              |      1,214 |         46 |        237 |      1,497 |
| e:\Development\Orion\Orion\vendor\glm\glm\common.hpp                                                               | C++              |         97 |        389 |         54 |        540 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_features.hpp                                                     | C++              |        110 |        185 |        100 |        395 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_fixes.hpp                                                        | C++              |         16 |          5 |          7 |         28 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_noise.hpp                                                        | C++              |         67 |          0 |         15 |         82 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_swizzle.hpp                                                      | C++              |        704 |         55 |         46 |        805 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_swizzle_func.hpp                                                 | C++              |        648 |          0 |         35 |        683 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\_vectorize.hpp                                                    | C++              |        142 |          0 |         21 |        163 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\compute_common.hpp                                                | C++              |         43 |          1 |          7 |         51 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\compute_vector_relational.hpp                                     | C++              |         16 |         12 |          3 |         31 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_common.inl                                                   | C++              |        638 |         43 |        112 |        793 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_common_simd.inl                                              | C++              |        195 |         14 |         23 |        232 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_exponential.inl                                              | C++              |        123 |          9 |         21 |        153 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_exponential_simd.inl                                         | C++              |         30 |          2 |          6 |         38 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_geometric.inl                                                | C++              |        193 |         17 |         34 |        244 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_geometric_simd.inl                                           | C++              |        143 |          2 |         19 |        164 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_integer.inl                                                  | C++              |        308 |         11 |         54 |        373 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_integer_simd.inl                                             | C++              |         52 |          0 |         14 |         66 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_matrix.inl                                                   | C++              |        386 |          0 |         58 |        444 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_matrix_simd.inl                                              | C++              |        194 |         24 |         35 |        253 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_packing.inl                                                  | C++              |        144 |          2 |         44 |        190 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_packing_simd.inl                                             | C++              |          5 |          0 |          2 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_trigonometric.inl                                            | C++              |        145 |         14 |         39 |        198 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_trigonometric_simd.inl                                       | C++              |          0 |          0 |          1 |          1 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_vector_relational.inl                                        | C++              |         78 |          0 |         10 |         88 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\func_vector_relational_simd.inl                                   | C++              |          5 |          0 |          2 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\glm.cpp                                                           | C++              |        198 |         17 |         49 |        264 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\qualifier.hpp                                                     | C++              |        196 |          1 |         33 |        230 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\setup.hpp                                                         | C++              |        882 |        108 |        167 |      1,157 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_float.hpp                                                    | C++              |         51 |          3 |         15 |         69 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_half.hpp                                                     | C++              |         11 |          0 |          6 |         17 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_half.inl                                                     | C++              |        121 |         80 |         41 |        242 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x2.hpp                                                   | C++              |        120 |         11 |         47 |        178 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x2.inl                                                   | C++              |        465 |          9 |         63 |        537 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x3.hpp                                                   | C++              |        107 |         11 |         42 |        160 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x3.inl                                                   | C++              |        445 |          9 |         57 |        511 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x4.hpp                                                   | C++              |        109 |         11 |         42 |        162 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat2x4.inl                                                   | C++              |        455 |          9 |         57 |        521 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x2.hpp                                                   | C++              |        114 |         11 |         43 |        168 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x2.inl                                                   | C++              |        467 |          9 |         57 |        533 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x3.hpp                                                   | C++              |        127 |         11 |         47 |        185 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x3.inl                                                   | C++              |        528 |          9 |         65 |        602 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x4.hpp                                                   | C++              |        114 |         11 |         42 |        167 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat3x4.inl                                                   | C++              |        513 |          9 |         57 |        579 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x2.hpp                                                   | C++              |        119 |         11 |         42 |        172 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x2.inl                                                   | C++              |        509 |          9 |         57 |        575 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x3.hpp                                                   | C++              |        119 |         11 |         42 |        172 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x3.inl                                                   | C++              |        533 |          9 |         57 |        599 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x4.hpp                                                   | C++              |        132 |         11 |         47 |        190 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x4.inl                                                   | C++              |        598 |         36 |         73 |        707 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_mat4x4_simd.inl                                              | C++              |          3 |          1 |          3 |          7 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_quat.hpp                                                     | C++              |        125 |         22 |         45 |        192 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_quat.inl                                                     | C++              |        325 |         29 |         59 |        413 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_quat_simd.inl                                                | C++              |        117 |         55 |         16 |        188 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec1.hpp                                                     | C++              |        194 |         47 |         68 |        309 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec1.inl                                                     | C++              |        455 |         13 |         86 |        554 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec2.hpp                                                     | C++              |        288 |         21 |         94 |        403 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec2.inl                                                     | C++              |        781 |         13 |        122 |        916 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec3.hpp                                                     | C++              |        316 |         24 |         96 |        436 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec3.inl                                                     | C++              |        929 |         13 |        129 |      1,071 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec4.hpp                                                     | C++              |        372 |         36 |        101 |        509 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec4.inl                                                     | C++              |        968 |         13 |        162 |      1,143 |
| e:\Development\Orion\Orion\vendor\glm\glm\detail\type_vec4_simd.inl                                                | C++              |        681 |          2 |         93 |        776 |
| e:\Development\Orion\Orion\vendor\glm\glm\exponential.hpp                                                          | C++              |         24 |         74 |         13 |        111 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext.hpp                                                                  | C++              |        229 |          3 |         24 |        256 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_clip_space.hpp                                                | C++              |        137 |        336 |         50 |        523 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_clip_space.inl                                                | C++              |        492 |          1 |         63 |        556 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_common.hpp                                                    | C++              |         14 |         14 |          9 |         37 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_common.inl                                                    | C++              |         14 |          0 |          3 |         17 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x2.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x2_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x3.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x3_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x4.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double2x4_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x2.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x2_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x3.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x3_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x4.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double3x4_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x2.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x2_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x3.hpp                                                 | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x3_precision.hpp                                       | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x4.hpp                                                 | C++              |          7 |         11 |          6 |         24 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_double4x4_precision.hpp                                       | C++              |         11 |         29 |         10 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x2.hpp                                                  | C++              |          7 |         11 |          6 |         24 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x2_precision.hpp                                        | C++              |         11 |         29 |         10 |         50 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x3.hpp                                                  | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x3_precision.hpp                                        | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x4.hpp                                                  | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float2x4_precision.hpp                                        | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float3x2.hpp                                                  | C++              |          6 |          8 |          5 |         19 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float3x2_precision.hpp                                        | C++              |          8 |         17 |          7 |         32 |
| e:\Development\Orion\Orion\vendor\glm\glm\ext\matrix_float3x3.hpp                                                  | C++              |          7 |         11 |          6 |         24 |
